date,treatment,rain,tmax,tmin,srad,tmean
09/25/1961,PGRO,14,21,16.1,9.749989936,18.55
09/26/1961,PGRO,0,27.4,13,12.37728055,20.2
09/27/1961,PGRO,0,29.5,13.1,16.70887906,21.3
09/28/1961,PGRO,29,24.2,16.6,11.69816567,20.4
09/29/1961,PGRO,0,18.8,10,18.20492098,14.4
09/30/1961,PGRO,0,22.4,6.6,17.70852073,14.5
10/01/1961,PGRO,0,26.3,7.2,17.77741362,16.75
10/02/1961,PGRO,0,31.9,14.6,19.55943036,23.25
10/03/1961,PGRO,0,28.8,12.9,15.04742052,20.85
10/04/1961,PGRO,0,25.4,13.6,12.57704408,19.5
10/05/1961,PGRO,0,28.8,12.5,12.85770345,20.65
10/06/1961,PGRO,0,31.5,13.2,17.53002933,22.35
10/07/1961,PGRO,0,30.7,13.6,17.24408346,22.15
10/08/1961,PGRO,0,27.3,16,17.30385331,21.65
10/09/1961,PGRO,0,29.8,14.4,13.05398344,22.1
10/10/1961,PGRO,5.3,22.7,17,20.10543619,19.85
10/11/1961,PGRO,10,22.8,16.2,11.39259196,19.5
10/12/1961,PGRO,0,28.3,13.1,14.01463509,20.7
10/13/1961,PGRO,24.2,30.4,10.1,10.88764182,20.25
10/14/1961,PGRO,0,27.8,16.5,18.23107557,22.15
10/15/1961,PGRO,0,24,13,18.87553985,18.5
10/16/1961,PGRO,0,19.2,14,16.91862254,16.6
10/17/1961,PGRO,26,23.4,15.2,11.04041973,19.3
10/18/1961,PGRO,0,28,14.8,9.532883406,21.4
10/19/1961,PGRO,21.4,25.9,17.1,8.137837375,21.5
10/20/1961,PGRO,26,29.4,16.6,8.167674406,23
10/21/1961,PGRO,10,25,17,8.197025161,21
10/22/1961,PGRO,0,24.8,16.1,12.17419531,20.45
10/23/1961,PGRO,0,23.6,14.7,16.04425517,19.15
10/24/1961,PGRO,0,29.1,16,15.12442915,22.55
10/25/1961,PGRO,20.5,28.2,15.9,12.15681421,22.05
10/26/1961,PGRO,0,26.1,13.2,20.37741906,19.65
10/27/1961,PGRO,0,28.1,14.8,19.81846052,21.45
10/28/1961,PGRO,0,26.8,12.7,19.49822083,19.75
10/29/1961,PGRO,0,25.9,15.7,18.69225708,20.8
10/30/1961,PGRO,18,22.4,17.6,13.88743286,20
10/31/1961,PGRO,19.2,23.4,17.4,13.67621144,20.4
11/01/1961,PGRO,0,25.4,17.7,15.40571657,21.55
11/02/1961,PGRO,7.3,25.2,16.6,8.510449946,20.9
11/03/1961,PGRO,4.6,26.8,16.5,8.533300586,21.65
11/04/1961,PGRO,6,27,16.3,10.38248634,21.65
11/05/1961,PGRO,3.6,29.2,17.5,13.81986075,23.35
11/06/1961,PGRO,20.6,27.4,15.4,11.03957272,21.4
11/07/1961,PGRO,0,25.5,13.5,19.61347993,19.5
11/08/1961,PGRO,0,27,12.2,20.01067567,19.6
11/09/1961,PGRO,0,27.1,11.2,22.7326743,19.15
11/10/1961,PGRO,4.3,23,11.8,21.1716551,17.4
